,Question 1,Question 2,Question 3
182,Explain complete evidence inference,,
183,What is the Synthetic Data approach? What are types of synthetic data?,,
184,What is an example for an SQL Injection Attack?,,
185,How does latent semantic analysis use SVD?,,
186,Explain the cbow model,How is the cbow model used to compute word embeddings?,
187,Write the expressions for expected number of self-loops,,
188,How can MapReduce be used for iterative computations?,,
189,How does the algorithm to evaluate decision networks work?,,
190,Describe Multivariate gaussian distribution.,,
191,What form does the intermediate step have?,,
192,Write the most observed property of real networks.,,
193,What is the definition of Verification and Validation and how do they differ?,What are the two principle objectives of V&V?,
194,What are the two modes of Ipsec?,,
195,What. Is Markov Chain Monte Carlo?,,
196,Can you explain the language bowl metaphor?,Explain the language bowl metaphor,
197,How are General Inactive Clause Coverage and Restricted Inactive Clause Coverage defined?,How do GICC and RICC differ?,
198,What are possible approaches to define Anonymity?,,
199,What are the difference between Lavrenko's relevance model and the Rocchio algorithm?,,
200,How are documents word embeddings obtained using the cbow model?,,
201,What language models are available to model the probability of word sequences in a language?,,
202,What is Quid pro Quo?,,
203,How is the log likelihood defined for discriminative models?,,
204,What is the probability that an edge between i and j exists?,,
205,How does the Sender Policy Framework work?,,
206,What is the Common Vulnerabilities and Exposures (CVE)? And what is the definition for Vulnerabilities and Exposures?,,
207,How are word counts computed in the MapReduce reduce phase?,,
208,What is transparency in relation to GDPR?,,
209,"In data mining, what is the goal of cluster analysis?",,
210,What are the differences between a parallel DBMS and MapReduce?,,
211,Comment on logistic regression,,
212,What are epidemic protocols?,Which type of nodes are distinguished in epidemic protocols?,
213,"What is HMAC, how does it work and where is it used?",,
214,Explain a vector clock example,,
215,What is Bitcoin and what is its goal and advantage?,,
216,What are distributive aggregate functions?,,
217,How is elasticity used to measure the extensibility?,,
218, Give the expression for mean number of links.,,
219,How is clause coverage defined?,,
220,How is accuracy computed?,Is accuracy a good measure for information retrieval systems?,
221,What guessing attacks on a password exist?,,
222,Describe sparsity via l0 regularization.,,
223,When is the time for merging linear?,,
224,What does the MapReduce execution workflow look like?,,
225,What is Multitasking and how does it work?,,
226,How exactly can Integrity be attacked when CRC is used? (WEP),,
227,How does an incidence matrix look like?,,
228,What are Strengths and criticisms of the skills approach?,How can the skills approach be applied in practice?,
229,What are alternative ways of weighting to rank documents?,,
230,What does the no free lunch theorem trying to say?,,
231,What are random variables?,Define a random variable.,
232,How is Each Choice Coverage defined?,,
233,Why is local serializability not enough for a distributed commit?,,
234,What are Transactions?,,
235,Which function(s) do we want to learn?,What is the reduced learning task?,
236,What are the factors influencing the components of the skills model?,,
237,How do conveyance and convergence differ? ,,
238,How can an example for ontology look like in the financial services industry?,,
239,Why are not all biwords always indexed?,How are biwords expanded so that they only represent meaningful concepts? ,
240,What do two vector clocks look like where there is no conflict?,,
241,What makes network science quantitative and empirical?,,
242,How does locality sensitive hashing work?,,
243,How is a probabilistic retrieval system defined by Robertson?,,
244,Are there differences between genders in leadership effectiveness?,,
245,What characteristics do Hansen et al. (1999) focus on?,,
246,Why is pooling required?,How are documents annotated in pooling?,
247,What is the validity of transformational leadership and transactional leadership?,,
248,"According to Sturm et al., what is the role of humans in learning algorithms?",,
249,What characteristics does Kane & Alavi's (2007) design approach focus on?,,
250,What are the communication costs for semi join filtering?,,
251,How is the normalized discounted cumulative gain defined?,How is the ideal discounted cumulative gain defined?,How does the normalized discounted cumulative gain change if the number of relevant documents changes?
252,What is the concept of scamming?,,
253,How are convolutional neural networks trained?,,
254,What is the porter algorithm? ,How does the porter algorithm work? ,
255,How can a VPN be realized?,,
256,Why should knowledge be stored?,What are the risks to knowledge retention?,
257,What are the primary specification models?,"What are the Structural, Functional and Behavioral models?",
258,What are advantages and criticism of the Bell-LaPadula Model?,,
259,How should these generic design approaches be used?,What recommendations do Hansen et al. make?,
260,How can you construct a Bayesian Network?,,
261,What are the layers of the TCP/IP Model?,,
262,What can perceptron learn?,,
263,Do you know some hadoop related projects?,,
264,What are the three types of machine learning?,How do they differ?,
265,What are knowledge-driven changes of the work environments from the perspective of individuals?,,
266,What is the TCP/IP Model?,,
267,What are the components of the knowledge spiral?,,
268,How is naive bayes implemented for categorical distribution?,,
269,What characteristics does Dennis & Vessey's design approach focus on?,,
270,What are the two approaches to Input Domain Modeling?,,
271,What is a probabilistic model?,What is a deep feedforward neural network?,
272,What is conjugate prior?,,
273,What are the decomposition steps?,,
274,What are generative models?,Why are generative models called so?,
275,How is Fiedler’s contingency model (1964) structured on which theory is it based?,Which leadership styles exist according to Fiedler’s contingency model (1964)?,
276,How to filter log files with spark?,,
277,How are tasks distributed?,,
278,Why can't the complete data log likelihood be determined?,How is the observed data log likelihood maximized?,
279,How does Pseudocode for Rainbow Tables look like?,,
280,What is CRC?,,
281,How can histograms be used to select a partitioning vector?,,
282,How can we assess the agents degree of believe?,How can betting games be used to assess agents?,
283,"How does the expectancy theory / VIE theory (Vroom, 1964) describe the creation of motivation and what is the motivational potential?",,
284,Which are the key differences of CoPs versus Teams? ,,
285,What is the EU Cookie Directive?,,
286,Which features are required to use consistent hashing in practice?,,
287,define diameter.,write expressions for average distance.,
288,What are the moderators of the goal performance relationship?,,
289,Into which two types do Kane & Alavi distinguish learning processes according to their purpose?,,
290,How is round robin used to distribute data?,,
291,How to protect against ransomware type 1 attack: encryption of data?,,
292,Is negative or positive feedback more valuable for the Rocchio algorithm?,,
293,What is the workflow for MAC?,,
294,What are constituent attributes of electronic CoPs and what are qualifying elements?,,
295,What makes naive bayes a family of classifiers?,,
296,What is important when selecting keys and values for MapReduce jobs?,,
297,Why do we need secure passwords and what are the challenges?,,
298,How is the situational approach described?,What is the leadership style and how is it related to the situational approach?,What are the different leadership styles of the SLII approach and how are they expressed by the leader?
299,"What are the key aspects of CoPs maturity phase Adaptive in terms of people behavior, process support and enabling technology?",,
300,Which keys are reallocated if when a node leaves?,,
301,Do the appropriation factors for BAC require media synchronicity?,,
302,What are the big data viewpoints?,,
303,How to compute the robustness of protocols for replication transparency?,,
304,How robust is quorum consensus?,,
305,What is the chain rule?,Which types of probability exist?,How is the partition rule defined?
306,How to decide whether to expect success using odds?,,
307,Describe MAP with gaussian prior.,,
308,What is self-determination theory (SDT) and what motivational distinction is it based on?,,
309,When is a Map and when is a Reduce program used?,,
310,How is conditional independence defined?,What is conditional independence?,
311,What does the term bug mean?,Why should the term bug be avoided?,
312,What are Common Approaches/Protocols?,,
313,What is the difference between knowledge augmentation and knowledge substitution?,,
314,How are the results from the spark program distributed across the nodes?,,
315,How does pre-clustering work to speed up the ranking of documents?,,
316,Why is big data difficult to handle?,,
317,What are Message Authentication Codes?,,
318,What are key aspects and differences of the kindergarten report card and the performance appraisal?,,
319,What are the results of Becerra-Fernandez & Sabherwal's (2001) second research question regarding the influence of task characteristics?,,
320,What is WLAN?,,
321,Define degree distribution of a network.,,
322,How are the big five personality factors related to leadership emergence and effectiveness?,,
323,Reflect on the findings of leskovec and horvitz study.,,
324,What are the possible states of an agent in the two phase commit protocol?,,
325,How must the merging of posting lists be adapted to support phrase queries?,,
326,How are the Map and Shuffle phase defined?,,
327,What is the problem with bloom filtering?,,
328,Summarize kernel machines.,,
329,How does automated thesaurus generation work?,Explain automated thesaurus generation,
330,What is stemming?,How does stemming work?,
331,Does the gender of the leader affect their leadership style?,,
332,How is the optimal policy defined depending on state s?,,
333,What is the basic principle of Cache (storage)?,,
334,What is Session Hijacking and what are countermeasures? ,,
335,Which key insights were gained in the lecture about the use of machine learning in KM?,,
336,What are networks?,,
337,What are auxiliary specification artifacts?,,
338,What are the characteristics of a NoSQL system?,,
339,What is a testers job?,How are test requirements and test criteria defined?,
340,Which properties does an event space satisfy?,,
341,How to solve conflicting vector clocks?,Why should the client perform conflict resolution?,
342,How to perform read and write operations in quorum consensus?,,
343,Why is data locality important?,,
344,"How are the correlations between gender and effective leadership regarding the transformational, transactional and laissez-faire leadership styles?",,
345,What is Hadoop?,,
346,Why should specifications be augmented with tests?,,
347,Why is it possible to use grammar coverage criteria?,,
348,What is Integer Under-/Overflow? What are famous examples?,,
349,What is the problem with RSA signature scheme and how is it handled?,,
350,What is the second type of ransomware - Trojan Threat of Destruction?,,
351,What is an example for a Prime and Probe Attack?,,
352,How can any boolean query be converted into a disjunctive normal form (DNF)? ,,
353,summarize generative models.,,
354,What does the execution plan for a spark program for counting words look like?,,
355,What are possible goals of XSS?,,
356,"Differentiate between walk, chain, trail and path.",What is a cycle and closed loop?,
357,What are the assumptions of K means clustering?,,
358,Explain the two-generals problem,,
359,How is Bayes' Rule defined?,,
360,Describe the methodology of continuous gradient descent.,,
361,What is the maximum number of links a network can have?,What makes a graph complete?,
362,What is the sum rule?,,
363,What are examples of notable XSS Attacks?,,
364,What does the internal dataflow representation of a spark program look like?,,
365,How to use SGD for logistic regression?,,
366,What is an RDD action?,How can spark's reduce action be used?,
367,How does Shared Key Authentication work?,,
368,How is fragmentation transparency defined?,,
369,What does a query tree with elimination of empty joins look like?,,
370,How can skip pointers be created? ,,
371,Describe the terminology of the EM algorithm.,,
372,How is the workflow of a hash function?,,
373,How to create a total order for a table with MapReduce?,,
374,What is one approach to store passwords securely on a server?,,
375,What are the relevant development languages for web applications?,,
376,What is the setup of the centralized two phase commit protocol?,,
377,What is a set of random variables in probabilistic retrieval?,How is the relevance judgment defined?,
378,What is Domain Keys Identified Mail (DKIM)?,,
379,How can evidence be combined?,,
380,When are two random variables independent?,,
381,What is an examples of a CSRF Attack?,,
382,How does ranked retrieval work?,,
383,What are typical problems in finding a suitable allocation scheme?,,
384,What are the properties of estimators?,,
385,What is assumed when using partitions?,,
386,What are joint distributions?,,
387,What are the two scenarios that can occur when we want to rank documents?,,
388,What are gradient based methods?,What are the two types of gradient based methods?,
389,What are the advantages and disadvantages of the basic approach to achieve replication consistency?,,
390,"According to the matrix of path-goal theory, what leadership behaviors need to be applied in different settings depending on group members and task characteristics?",,
391,How is the relevance score computed if no relevance judgements are available?,,
392,What are strengths and criticisms of the servant leadership approach?,,
393,What is Dynamic DNS?,,
394,How to deal with lost messages?,,
395,Explain the generative process of a language model,How does the generative process of a language model work?,
396,What are the challenges in defining a learning algorithm?,,
397,How are input and output for the parallel sort defined?,,
398,What is the simplest way to compute a thesaurus?,What is the co-occurrence thesaurus?,How is the co-occurrence thesaurus constructed?
399,Why is the transfer of implicit knowledge becoming more difficult with an increasing degree of diffusion?,,
400,How can multiple factors be considered for ranking documents?,,
401,What is the definition of Personal Data?,,
402,Which assumptions hold in a Markov Decision Process?,,
403,Which three components are implemented by each information retrieval system? ,,
404,What is HTTP?,,
405,Explain the lloyd's algorithm for K means.,,
406,How efficient is the anti-entropy protocol?,,
407,How is a champion list created?,,
408,How are tests and test paths denoted and what does syntactic/semantic reach mean?,What is syntactic/semantic reach?,How are tests and test paths denoted?
409,What is a problem of the rainbow table approach and how is it solved?,,
410,What are Mail Fetching Protocols?,,
411,What is a stationary policy?,What is an optimal policy?,
412,When does the exchange phase become difficult?,,
413,What are determining predicates?,,
414,What are the problems of knowledge integration?,,
415,What is Tor?,,
416,Define the scope of a leaf node n.,Define the scope of an inner node n.,Define the scope of S
417,How can words be counted with MapReduce?,,
418,What are the implications of the work of Lebovitz et al. (2022)?,,
419,How is externally regulated behavior defined and how is it related to intrinsically motivated behavior?,What is Internalization?,
420,What is the idea of approximate cosine similarity?,,
421,How are infeasible test requirements handled in logic coverage criteria?,,
422,How is Base Choice Coverage defined?,,
423,Why do we need models?,What can the models be used for?,
424,What is the concept of Critical Data?,,
425,What is a click fraud attack?,,
426,How to create vector clocks for a practical example?,,
427,What are the six global leadership behaviors of GLOBE?,,
428,What is the structure of RC4?,,
429,Which differences exist between genders (men and women) in leadership effectiveness?,,
430,How to solve conflicting vector clocks?,,
431,What are the main differences between explicit and tacit knowledge?,,
432,What are general advices regarding potentially harmful e-mails?,,
433,How is the ICV calculated in the AH Protocol in Transport Mode?,,
434,Why should posting sites be sorted?,,
435,How does the ranking work when relevance judgements are known?,,
436,What is the relationship between Bernoulli model and odds?,,
